Column1,Column2,Column3
-175,-50,78.401
-175,-49,87.278
-175,-48,90.395
-175,-47,88.883
-175,-46,97.712
-175,-45,116.802
-175,-44,120.326
-175,-43,104.628
-175,-42,84.211
-175,-41,93.557
-175,-40,111.072
-175,-39,128.198
-175,-38,138.032
-175,-37,131.217
-175,-36,125.855
-175,-35,129.114
-175,-34,181.674
-175,-33,189.237
-175,-32,176.271
-175,-31,204.689
-175,-30,186.354
-175,-29,231.205
-175,-28,217.168
-175,-27,137.727
-175,-26,165.328
-175,-25,187.609
-175,-24,213.974
-175,-23,218.008
-175,-22,61.782
-175,-21,147.589
-175,-20,168.885
-175,-19,29.505
-175,-18,25.644
-175,-17,25.356
-175,-16,25
-175,-15,25
-175,-14,36.821
-175,-13,50
-175,-12,58.265
-175,-11,69.27
-175,-10,77.637
-175,-9,116.058
-175,-8,115.253
-175,-7,109.563
-175,-6,97.756
-175,-5,92.846
-175,-4,109.863
-175,-3,74.993
-175,-2,132.01
-175,-1,110.366
-175,0,106.309
-175,1,126.511
-175,2,136.624
-175,3,134.464
-175,4,127.187
-175,5,121.144
-175,6,120.876
-175,7,118.462
-175,8,125.755
-175,9,134.533
-175,10,154.146
-175,11,177.258
-175,12,170.458
-175,13,140.262
-175,14,125.725
-175,15,123.956
-175,16,118.384
-175,17,134.912
-175,18,128.99
-175,19,126.643
-175,20,104.776
-175,21,105.999
-175,22,104.255
-175,23,99.403
-175,24,99.421
-175,25,105.668
-175,26,121.96
-175,27,139.752
-175,28,133.439
-175,29,121.576
-175,30,119.114
-175,31,126.23
-175,32,128.081
-175,33,122.457
-175,34,115.911
-175,35,109.582
-175,36,103.154
-175,37,103.852
-175,38,111.067
-175,39,110.529
-175,40,112.346
-175,41,112.216
-175,42,107.692
-175,43,104.498
-175,44,106.062
-175,45,122.667
-175,46,110.349
-175,47,92.949
-175,48,83.19
-175,49,75.439
-175,50,63.405
-175,51,69.262
-175,52,74.82
-175,53,54.769
-175,54,69.507
-175,55,66.02
-175,56,54.851
-175,57,50.161
-175,58,41.808
-175,59,45.485
-175,60,64.107
-175,61,66.571
-175,62,64.352
-175,63,54.434
-175,64,50
-175,65,50
-175,66,57.306
-175,67,73.248
-175,68,67.366
-175,69,59.85
-175,70,46.383
-175,71,42.052
-175,72,56.611
-175,73,53.652
-175,74,115.75
-175,75,170.815
-175,76,114.163
-175,77,132.808
-175,78,122.501
-175,79,128.598
-175,80,160.067
-175,81,119.963
-175,82,140.515
-175,83,125.715
-175,84,112.931
-175,85,124.294
-175,86,105.92
-175,87,130.264
-175,88,134.554
-175,89,102.979
-175,90,71.848
-174,-90,264.637
-174,-89,219.024
-174,-88,169.678
-174,-87,105.608
-174,-86,75.509
-174,-85,54.7
